AVB,0.895445406 -1.010287285 -0.157294616 0.983270109 -1.307565689 0.152467385 0.12731795 1.750995398 -1.200619936 -1.092047215 0.858318567
AVP,0.690817595 -0.330849886 0.389261037 -0.89720118 -0.493124127 0.08525382 1.203589439 -0.518090725 -1.989606142 -0.018995535 1.878945708
AVY,1.535748482 -0.304679036 0.38222605 -0.485923916 -1.326287866 -0.480747551 1.398540735 0.561579466 -1.484722257 -0.814305961 1.018571854
AXP,-0.295853913 -0.075542308 1.914506793 -0.660535634 -1.085658789 -0.169093609 0.548888981 0.953840494 -1.788693428 -0.367629409 1.025770783
AYE,0.205979824 -0.638109922 -1.540795326 1.096670389 -1.349650145 1.27600348 0.362874627 -0.589215398 -0.694334805 0.297547013 1.573030114
AZO,-0.868912756 -2.121934652 1.029110551 0.716990173 -1.124351621 0.744741738 0.177835777 0.714618921 -0.060603876 -0.467003167 1.259508967
BA,0.650187373 -1.832225442 0.874516845 -0.002659832 0.983929515 0.104591571 1.32633245 -0.404277235 -1.672080278 -0.629588902 0.601274014
BAC,-0.292137086 -1.371472478 1.065107465 -0.461733252 0.372511804 1.66447258 1.288291097 0.241357222 -1.434015274 -0.998513997 -0.073868074
BAX,0.307997018 -0.313058734 0.291267455 1.329203844 0.030320348 0.128336906 0.593532085 -2.312770367 -1.169576287 -0.2324664 1.347214103
BBBY,0.330990225 -1.08571744 0.913158476 0.394239068 -0.053082146 0.994009495 0.655959189 0.635896981 -0.427400559 -2.581521034 0.223467767
BBT,-0.224329665 -1.075445771 0.171737641 0.342263192 1.369785786 0.404248744 1.843841672 0.437283903 -1.065257907 -1.5774014 -0.62672621
BBY,0.346613437 0.28530851 1.13251996 -0.820751071 -0.743467748 -0.049239356 1.70469892 0.717660129 -0.749934435 -2.060880184 0.23747173
BCR,-0.495931864 -0.802865863 1.90920043 -1.09431994 1.396914959 0.256569684 0.751919687 0.004712459 -1.347296 -0.881693065 0.302789539
BDX,0.028833939 -0.84856832 2.291079044 1.006651282 -0.831671834 0.612836659 0.200042993 -0.565257013 -1.244578004 -0.968934655 0.319566071
BEN,0.74945724 0.30854398 0.259422779 -0.399095505 -0.792548716 0.18211028 0.887592971 0.356318802 -1.818869591 -1.478375912 1.745443583
BF.B,0.778470993 -0.757319152 0.666754246 0.232491076 -1.315214872 -0.231235713 1.773279309 -0.955920815 -1.397912621 -0.028424999 1.235032558
BHI,1.699565291 -0.432495594 -0.603292704 -0.37917769 0.682364762 0.17033644 -0.516421795 0.204622716 -2.308751583 0.439019799 1.044230342
BIG,-0.458962649 -0.219706774 -1.133038044 2.114753246 -0.496115893 1.382103682 0.513061106 0.151362464 -1.02002871 -1.176609635 0.343181014
